publication_number,application_number,country_code,kind_code,family_id,publication_date,year,title,abstract,assignee,organization,inventors,cpc_codes,url,source_type,bigquery_relevance_score
CN-116657283-B,CN-202310380667-A,CN,B,87723081,20250516,2025,Composite carbon fiber and preparation method thereof,"The invention discloses a composite carbon fiber and a preparation method thereof, wherein the method comprises the steps of (1) providing a spray head, wherein the spray head comprises an inner channel and an outer channel, the outer channel is arranged around the periphery of the inner channel, a polyacrylonitrile solution is introduced into the outer channel, a mixed solution comprising polyacrylonitrile and mesophase pitch is introduced into the inner channel for spinning, a core layer comprising polyacrylonitrile and mesophase pitch is obtained, a sheath layer comprising primary fibers of polyacrylonitrile is obtained, (2) the primary fibers are sequentially subjected to boiling water drafting, water washing, oiling, drying densification and steam drafting, and precursor fibers with a sheath-core structure are obtained, and (3) the precursor fibers are sequentially subjected to pre-oxidation, carbonization and graphitization, so that the composite carbon fiber is obtained. The method can be used for preparing the composite carbon fiber with small radial graphitization difference, and the composite carbon fiber has excellent tensile strength and tensile modulus at a lower graphitization temperature.",北京化工大学,,,D01F9/145; D01F9/22,https://patents.google.com/patent/CN116657283B/en,patent,29
CN-116657283-A,CN-202310380667-A,CN,A,87723081,20230829,2023,Composite carbon fiber and preparation method thereof,"The application discloses a composite carbon fiber and a preparation method thereof, wherein the method comprises the following steps: (1) Providing a spray head, wherein the spray head comprises an inner channel and an outer channel, the outer channel is arranged around the periphery of the inner channel, a polyacrylonitrile solution is introduced into the outer channel, a mixed solution comprising polyacrylonitrile and mesophase pitch is introduced into the inner channel for spinning, a core layer comprising polyacrylonitrile and mesophase pitch is obtained, and a skin layer comprising nascent fibers of polyacrylonitrile is obtained; (2) Sequentially carrying out boiling water drafting, water washing, oiling, drying densification and steam drafting on the nascent fiber to obtain a precursor fiber with a sheath-core structure; (3) And (3) sequentially performing pre-oxidation, carbonization and graphitization on the precursor fiber to obtain the composite carbon fiber. The method can be used for preparing the composite carbon fiber with small radial graphitization difference, and the composite carbon fiber has excellent tensile strength and tensile modulus at a lower graphitization temperature.",北京化工大学,UNIV BEIJING CHEM TECH,LI CHANGQING; ZHOU ZHENGYU; XU LIANGHUA; ZHANG KE; TONG YUANJIAN; CAO WEIYU; ZHAO ZHENWEN; WANG YU; GAO AIJUN; WANG MENGFAN,D01F9/22; D01F9/145,https://patents.google.com/patent/CN116657283A/en,patent,29
CN-109402791-B,CN-201811102012-A,CN,B,65465116,20210205,2021,High-strength high-modulus carbon fiber with regular surface cross-section structure and preparation method thereof,"The invention discloses a high-strength high-modulus carbon fiber with a regular surface cross-section structure and a preparation method thereof, wherein the method comprises the following steps: (1) polymerizing acrylonitrile and itaconic acid or acrylonitrile and itaconic acid and methyl acrylate to obtain a polymer spinning solution; (2) sequentially solidifying, steam drafting, washing, oiling, drying, superheated steam drafting and heat setting the polymer spinning solution to obtain polyacrylonitrile protofilaments; (3) carrying out preoxidation, carbonization and graphitization treatment on polyacrylonitrile precursor to obtain carbon fiber, wherein in the step (2), the solidification process adopts three-level gradient solidification: the concentration of the first coagulation bath is 65-80 wt%, the temperature is 30-65 ℃, the coagulation draft multiple is 0.5-1.0 time, the concentration of the second coagulation bath is 35-50 wt%, and the concentration of the third coagulation bath is 5-10 wt%. The method can be used for obtaining the high-strength high-modulus carbon fiber with a circular section and an oriented surface groove structure, wherein the linear density of the carbon fiber is 225-235 g/km (6K), 435-447 g/km (12K), the tensile strength is 4.4-5.0 GPa, the tensile modulus is 350-400 GPa, and the bulk density is 1.77-1.79g/cm 3 。",北京化工大学,,,C08F220/46; D01F9/22,https://patents.google.com/patent/CN109402791B/en,patent,29
CN-108286090-A,CN-201810113188-A,CN,A,62836464,20180717,2018,A kind of preparation method of polyacrylonitrile-radical high-strength high-modules carbon fibre,"The present invention relates to a kind of polyacrylonitrile-radical high-strength high-modules carbon fibre preparation methods.By polyacrylonitrile (PAN) precursor after conventional pre-oxidation, low-temperature carbonization, by improving high temperature cabonization temperature and matching certain stretching, or by promoting high temperature cabonization stretching ratio, carbon crystallite orientation can effectively be controlled, obtain the high temperature cabonization fiber that the angle of orientation is not more than 17.5 °, then high temperature graphitization hot-stretch processing is carried out at a temperature of relatively low high temperature graphitization, and the carbon fiber with high-strength and high-modulus feature of 3.8~5.0GPa of tensile strength, 500~600GPa of stretch modulus has been prepared.The preparation method of the present invention reduces requirement of the high temperature graphitization to equipment, is conducive to energy-saving and reduces cost, and operation is simple.",北京化工大学,UNIV BEIJING CHEM TECH,WANG YU; ZHAO ZHENWEN; GAO AIJUN; LI CHANGQING; XU LIANGHUA; TONG YUANJIAN; CAO WEIYU,D01F9/225,https://patents.google.com/patent/CN108286090A/en,patent,29
CN-120967552-B,CN-202511501388-A,CN,B,97639651,20260303,2026,Dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber and preparation method thereof,"The application relates to a dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber and a preparation method thereof, belonging to the technical field of carbon fibers. A preparation method of dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber comprises the steps of S1, mixing acrylonitrile, a comonomer, a chain transfer agent, an initiator and a solvent, carrying out polymerization reaction through a solvent dripping method, and preparing spinning stock solution, wherein the comonomer comprises a first comonomer, a second comonomer and a third comonomer, S2, solidifying, washing, water drawing, oiling, drying and steaming the spinning stock solution to obtain a precursor fiber, and S3, sequentially carrying out pre-oxidation, low-temperature carbonization, high-temperature carbonization, graphitization, surface treatment, sizing and drying on the precursor fiber to obtain the ultra-high performance polyacrylonitrile-based carbon fiber, wherein the pre-oxidation adopts four-stage pre-oxidation treatment. The strength and the modulus of the carbon fiber can be effectively and synergistically optimized, and the carbon fiber with high strength and high modulus can be prepared.",中复神鹰碳纤维股份有限公司,,,D01F9/22,https://patents.google.com/patent/CN120967552B/en,patent,27
CN-119411258-A,CN-202411085565-A,CN,A,94462276,20250211,2025,"High-strength middle-mode, high-strength high-mode carbon fiber and preparation method thereof","The invention discloses a high-strength medium-mode, high-strength high-mode carbon fiber and a preparation method thereof, belonging to the technical field of carbon fiber preparation, wherein the preparation method comprises the following steps of adding polyacrylonitrile, 2,4, 6-triaminopyrimidine and barbituric acid into an organic solvent according to raw material proportion to prepare a polyacrylonitrile spinning solution; the method comprises the steps of preparing a primary fiber from a polyacrylonitrile spinning solution through a wet spinning process or a dry-wet spinning process after defoaming and filtering, then preparing a polyacrylonitrile precursor gradually through the steps of washing, drafting, oiling, drying densification and steam drafting, and carrying out pre-oxidation treatment on the polyacrylonitrile precursor through a multi-stage pre-oxidation process, and then carrying out carbonization process or graphitization process treatment to obtain the high-strength medium-modulus carbon fiber and the high-strength high-modulus carbon fiber respectively. The invention can reduce the carbonization or graphitization temperature required by production and can simultaneously realize the aims of high modulus and high strength of the carbon fiber.",东华能源(茂名)碳纤维有限公司,DONGHUA ENERGY MAOMING CARBON FIBER CO LTD,ZHANG YE; ZHU BO; ZHU ANPING; SUN YONGLIAN; LYU JIANGUO,D01F1/10; D01F6/54; D01F9/22,https://patents.google.com/patent/CN119411258A/en,patent,27
CN-120925116-A,CN-202511029259-A,CN,A,97588068,20251111,2025,Continuous preparation process of high-strength carbon fiber precursor,"The application provides a continuous preparation process of high-strength carbon fiber precursor, which realizes accurate control of the proportion of copolymerization components by monitoring multidimensional parameters in the polymerization reaction process in real time, establishing a molecular weight distribution prediction model and carrying out self-adaptive regulation. On the basis, the application constructs a fiber pore structure distribution model, optimizes spinning process parameters, monitors the pre-oxidation process by a differential scanning calorimetry method, and adjusts a heating curve to obtain the pre-oxidized fiber with high cyclizing degree. Finally, the segmented carbonization treatment is adopted, the dehydrocyclization and graphitization degree are controlled, and the high-performance carbon fiber with the tensile strength exceeding 3.5GPa is prepared. According to the application, through intelligent monitoring and regulation of the whole process, the accurate control of the preparation process of the polyacrylonitrile-based carbon fiber is realized, and the product performance and the production efficiency are remarkably improved.",广东神扬新材料科技有限公司,GUANGDONG SHENYANG NEW MATERIAL TECH CO LTD,CHEN NING,G06F18/2411; G16C20/70; G16C20/20; G16C20/10; G16C60/00; D01F9/22,https://patents.google.com/patent/CN120925116A/en,patent,27
CN-120967552-A,CN-202511501388-A,CN,A,97639651,20251118,2025,Dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber and preparation method thereof,"The application relates to a dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber and a preparation method thereof, belonging to the technical field of carbon fibers. A preparation method of dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber comprises the steps of S1, mixing acrylonitrile, a comonomer, a chain transfer agent, an initiator and a solvent, carrying out polymerization reaction through a solvent dripping method, and preparing spinning stock solution, wherein the comonomer comprises a first comonomer, a second comonomer and a third comonomer, S2, solidifying, washing, water drawing, oiling, drying and steaming the spinning stock solution to obtain a precursor fiber, and S3, sequentially carrying out pre-oxidation, low-temperature carbonization, high-temperature carbonization, graphitization, surface treatment, sizing and drying on the precursor fiber to obtain the ultra-high performance polyacrylonitrile-based carbon fiber, wherein the pre-oxidation adopts four-stage pre-oxidation treatment. The strength and the modulus of the carbon fiber can be effectively and synergistically optimized, and the carbon fiber with high strength and high modulus can be prepared.",中复神鹰碳纤维股份有限公司,ZHONGFU SHENYING CARBON FIBER CO LTD,CHEN QIUFEI; LIU DONG; ZHANG HUAN; XIA WENLONG; WANG LUYAO; LIU XIUQING,D01F9/22,https://patents.google.com/patent/CN120967552A/en,patent,27
CN-117569087-A,CN-202311538094-A,CN,A,89892974,20240220,2024,Composite polyacrylonitrile-based graphite soft felt and preparation method thereof,"The invention discloses a composite polyacrylonitrile-based graphite soft felt and a preparation method thereof, wherein the composite polyacrylonitrile-based graphite soft felt is prepared mainly through precursor crimping, chopping, opening, carding to form a net, pre-oxidizing, layering, needle punching forming, low-temperature carbonization, high-temperature carbonization and high-temperature graphitization, and sizing; according to the invention, through a pre-needling and re-needling process, the size uniformity and the tensile strength of the formed pre-oxidized fiber felt are greatly improved; the pre-oxidation treatment process is advanced to carding and net forming, so that the production efficiency is greatly improved by 200-300% compared with the traditional production process, and the problems of ignition and the like caused by heat accumulation in the pre-oxidation process due to insufficient heat dissipation of the carbon fiber soft felt are effectively avoided.",江苏米格新材料股份有限公司,JIANGSU MIGE NEW MAT CO LTD,LI KAI; CHEN XINHUA; ZHANG QINQUAN,D04H1/43; D04H1/46; D06C7/04; D06M15/55; D06M11/79; D06M11/76; D06M11/00,https://patents.google.com/patent/CN117569087A/en,patent,27
CN-111621878-B,CN-202010174090-A,CN,B,72269655,20230428,2023,Large-diameter high-strength medium-modulus and high-strength high-modulus carbon fiber with surface groove structure and preparation method thereof,"The invention relates to a large-diameter polyacrylonitrile-based high-strength medium-modulus and high-strength high-modulus carbon fiber with a surface groove structure and a preparation method thereof. The invention adopts wet spinning to prepare large-diameter precursor, carries out pre-oxidation treatment in a pre-oxidation gas atmosphere with the volume concentration higher than that of oxygen in air to obtain homogeneous pre-oxidation fiber with basically the same radial optical density value, then carries out low-temperature carbonization and high-temperature carbonization to prepare large-diameter high-strength medium-modulus carbon fiber with the diameter of 8.5-10 mu m, the strength of 4.90-6.10 GPa and the modulus of 270-310 GPa, and carries out high-temperature graphitization treatment with the length longer than the conventional treatment time to obtain large-diameter high-strength high-modulus carbon fiber with the surface groove structure, the diameter of 7-10 mu m, the strength of 3.70-5.50 GPa and the modulus of 370-688 GPa. The improvement of the diameter of the carbon fiber not only improves the alignment of the fiber and improves the wettability of the resin in the preparation of the composite material, but also is beneficial to the meshing effect of the carbon fiber and the resin due to the surface groove structure, and finally improves the mechanical property of the composite material.",北京化工大学,,,D01F9/22; C08F220/46,https://patents.google.com/patent/CN111621878B/en,patent,27
