issue_id,case_id,candidate_id,issue_type,severity,message,publication_number,raw_row_number
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:1721790eaa,case_01_pan_graphitization,case_01_pan_graphitization:lc:1721790eaa,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c40f67f5d4,CN116657283A,3
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:297bab3123,case_01_pan_graphitization,case_01_pan_graphitization:lc:297bab3123,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9ad4c602c9,CN120967552A,9
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:dabb545ef4,case_01_pan_graphitization,case_01_pan_graphitization:lc:dabb545ef4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:febb98a726,CN111621878A,13
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9b4800216b,case_01_pan_graphitization,case_01_pan_graphitization:lc:9b4800216b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN121137864A,17
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7b0765bb61,case_01_pan_graphitization,case_01_pan_graphitization:lc:7b0765bb61,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN111691011B,20
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9f2b535d83,case_01_pan_graphitization,case_01_pan_graphitization:lc:9f2b535d83,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:fe2960dd0c,CN114855306A,22
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:95b3a4bc4d,case_01_pan_graphitization,case_01_pan_graphitization:lc:95b3a4bc4d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN110552084B,24
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:861d910ee8,case_01_pan_graphitization,case_01_pan_graphitization:lc:861d910ee8,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:955bed7c38,CN108286090B,26
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:62310ee8c6,case_01_pan_graphitization,case_01_pan_graphitization:lc:62310ee8c6,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:b2a4e5731c,CN111139554A,29
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:adb16a72e0,case_01_pan_graphitization,case_01_pan_graphitization:lc:adb16a72e0,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN111691011A,30
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:825dc16a9a,case_01_pan_graphitization,case_01_pan_graphitization:lc:825dc16a9a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5a4fe0eda6,CN109468712A,32
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:60eefa19a6,case_01_pan_graphitization,case_01_pan_graphitization:lc:60eefa19a6,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN110552084A,33
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:b546233491,case_01_pan_graphitization,case_01_pan_graphitization:lc:b546233491,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:f4c97ded92,CN109023592A,35
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:5d1b50caa9,case_01_pan_graphitization,case_01_pan_graphitization:lc:5d1b50caa9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:cd82151943,CN103184588A,37
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:b683dc26ef,case_01_pan_graphitization,case_01_pan_graphitization:lc:b683dc26ef,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8bcda8efb0,CN102051711A,39
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:f8d6391948,case_01_pan_graphitization,case_01_pan_graphitization:lc:f8d6391948,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c4f6dfb6e4,CN1930332A,40
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:08caf5bf70,case_01_pan_graphitization,case_01_pan_graphitization:lc:08caf5bf70,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c4f6dfb6e4,KR20070001180A,41
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e7e6efc25f,case_01_pan_graphitization,case_01_pan_graphitization:lc:e7e6efc25f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c4f6dfb6e4,WO2005087992A1,42
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:4884652f38,case_01_pan_graphitization,case_01_pan_graphitization:lc:4884652f38,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a68fa877b1,CN119287559B,44
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:63a34d91ed,case_01_pan_graphitization,case_01_pan_graphitization:lc:63a34d91ed,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:7df8ad362b,CN120119505B,46
