publication_number,publication_date,title,abstract,assignee,country,url,cpc_codes,ipc_codes,search_intents,query_plan_ids,matched_terms,source_type,evidence_level,claims_source,description_source,signal_id,signal_type,review_priority,source_quality,source_category,source_title,source_url,source_domain,disclosure_type,related_company,related_project,related_institution,related_technology_terms,evidence_sentences,confidence,verification_status,caveat,next_verification_action,keep_for_evidence_map,rejection_reason
,,,,,,,,,,,,,,,,wsig-be9c3f69ca,national_project,95,high,public_funding,炭素循環社会に貢献するセルロースナノファイバー関連技術開発 | 事業 | NEDO,https://www.nedo.go.jp/activities/ZZJP_100169.html,nedo.go.jp,,,,,,## 研究開発内容.; NEDOのセルロースナノファイバー先端開発技術者養成に係る特別講座（CNF人材育成講座）は実習が半分以上を占め、実際の設備や分析機器を自分で動かして製造や評価を行える極めて実践的な講座であり、好評のうちに2023年度に終了を迎えました。その後も受講希望者が多く、後継講座としてNCJ（ナノセルロースジャパン）にて、4コースの実習講座を開設し、2024年度から募集を開始しています。詳細につきましては、NCJの下記ホームページを参照ください。.; Focus NEDO第81号（2021年7月発行：実用化へのカウントダウン　セルロースナノファイバー）.,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-908d1c213c,national_project,95,high,public_funding,革新的新構造材料等研究開発 | 事業 | NEDO,https://www.nedo.go.jp/activities/ZZJP_100077.html,nedo.go.jp,,,,,,# 革新的新構造材料等研究開発.; PDFプロジェクトの概要説明資料「革新的新構造材料等研究開発」（終了時評価）2023年4月21日（金）資料5（8.1MB）.; 動画リンク 別ウィンドウで開きます【nano tech2023】NEDOブース展示放映動画.,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-5e4608622f,national_project,95,high,public_funding,次世代航空機の鍵を握るCFRP高レート生産技術の研究開発を本格始動しました | ニュース | NEDO,https://www.nedo.go.jp/news/press/AA5_101858.html,nedo.go.jp,,,,,,# 次世代航空機の鍵を握るCFRP高レート生産技術の研究開発を本格始動しました ―温室効果ガス削減と航空機製造の革新に挑みます―.; NEDOは、「航空機向け革新複合材共通基盤技術開発事業」（以下、本事業）において、炭素繊維強化プラスチック（CFRP）の高レート生産技術に関する研究開発提案を新たに採択しました。.; 複合材料製造技術を革新し、日本の航空機産業の競争力を強化するとともに、航空機の軽量化により二酸化炭素（CO2）削減を図り、脱炭素社会の実現に貢献します。.,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-08d810e9a6,national_project,95,high,public_funding,[PDF] 低コストと高性能を両立した炭素繊維の研究開発 - NEDO,https://www.nedo.go.jp/content/100950345.pdf,nedo.go.jp,,,,,,炭素繊維の低コスト化（すなわち，水素貯蔵タンクの低コスト化）によるFCVの普及への貢献を目的とし、本研究.; (炭素繊維開発)の最終目標10$/kgの製造,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-3d7ee63d93,national_project,95,high,public_funding,退役航空機から回収する炭素繊維強化プラスチックのリサイクル ...,https://www.nedo.go.jp/news/press/AA5_101933.html,nedo.go.jp,,,,,,NEDOは、航空機に使われる先端素材「炭素繊維強化プラスチック（CFRP）」のリサイクルに関する研究開発として、「次世代航空機向け静脈産業構築事業」に,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-1d8ac63314,national_project,95,high,public_funding,開発を終了した課題の評価 - JST,https://www.jst.go.jp/pr/info/info669/hyouka.html,jst.go.jp,,,,,,本新技術では、PAN系炭素繊維に金属アルコキシド溶液を用いてゾル-ゲルコーティングすることで炭素繊維表面に厚さサブミクロンのアルミナセラミックス保護,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-2cb05b31fd,national_project,95,high,public_funding,[PDF] プロジェクトの概要（公開版） - NEDO,https://www.nedo.go.jp/content/100959945.pdf,nedo.go.jp,,,,,,プロジェクトの概要（公開版） 2023年4月21日 「革新的新構造材料等研究開発」（終了時評価） 2014年度～2022年度９年間 資料５ 小川貴弘 主査・プロジェクトマネージャー 材料・ナノテクノロジー部 材料・ナノテクノロジー部小川（PM) 高性能材料（構造材料）分野の技術戦略 事業計画 アウトプット目標 自動車や鉄道車両メーカのニーズに基づき、各材料（Ti合金、Mg合金、Al合金、革新 鋼板、ＣＦＲＰ等）の高性能化・低コスト製造プロセス開発・設計加工技術開発の目 標を設定。; ・マルチマテリアル技術：マルチマテリアル設計車体の提案 ・接合技術：目標は組み合わせ毎に設定 ・革新チタン材：引張強度・延性バランスを30%以上向上、自動車部材の試作 ・革新アルミ材：引張強度750MPa、伸び12%以上、自動車部材の試作 ・革新マグネ材：引張強度270MPa、伸び20%以上、高速鉄道車両モックアップ構体試作 ・革新鋼板：引張強度1500MPa以上、伸び20%以上、汎用鋼並み耐食性・水素脆性確保 ・熱可塑性CFRP：大型部材の高速成形技術確立と車体構造への適用 ・革新炭素繊維：耐炎化工程不要の製造技術開発（引張弾性率240GPa、強度4GPa） アウトカム目標 出口戦略 （実用化見込み） 運輸機器の軽量化を実現する構造素材の 研究開発を推進し、世界各国の環境規制 に適合した輸送機器の生産につなげる。; グローバルポジション 開始（2013年）→事業終了時（2023年） ・接合技術 ：RA～DH → DH ・革新チタン材 ：DH → DH～LD ・革新アルミ材 ：RA → DH ・革新マグネ材 ：RA → DH ・革新鋼板 ：DH → DH～LD ・熱可塑性CFRP：DH～LD → LD ・革新炭素繊維：LD → LD 想定する出口イメージ等 既存プロジェクトとの関係 第２期 第３期 第４期 2016 2017 2018 2019 2020 2021 2022 2023 マルチ マテリアル 接合 技術 革新 チタン材 革新 アルミ材 革新 マグネ材 革新 鋼板 熱可塑性 CFRP 革新炭素 繊維 戦略基盤 評価時期 中間 評価 中間 評価 終了時 評価 予算 （億円） 37.1 37.2 35.1 28.3 36.2 30.2 26.9 プロジェクトの概要 ＜研究開発スケジュール・評価時期・想定する予算規模＞ 期間：２０１３～２０２２年度（１０年間） 総事業費（ＮＥＤＯ負担分）：およそ３７8億円（委託） 自動車の燃費改善、電費向上に係る課題には、動力 機関の効率向上、電池性能向上、車両の軽量化、空 気抵抗軽減などがある。中でもエンジン燃焼効率の向上 や電池容量の向上に向けた研究開発は精力的に取り 組まれている。これに加えて車両の軽量化もまた、燃費 改善、航続距離延伸に繋がる重要な取組課題の一つ になっている。,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-aca8a891d0,national_project,95,high,national_project,[PDF] 革新炭素繊維基盤技術開発 の概要について - 経済産業省,https://www.meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/kenkyu_innovation/hyoka_wg/pdf/008_s01_00.pdf,meti.go.jp,,,,,,本事業は、我が国の炭素繊維の国際優位性を維持し、かつ、国内における炭素繊維.,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-b90bc93101,grant,95,high,national_project,繊維（METI/経済産業省）,https://www.meti.go.jp/policy/mono_info_service/mono/fiber/index.html,meti.go.jp,,,,,,## 繊維産業の監査要求事項・評価基準「Japanese Audit Standard for Textile Industry（JASTI）」を策定.; 経済産業省では2023年9月より「繊維産業における責任ある企業行動ルール形成戦略研究会」（座長：新宅純二郎　明治大学経営学部特任教授）を立ち上げ、その下に設置した「JASTI策定検討ワーキンググループ」等を通じて議論を重ねた上で、国際認証やイニシアティブ等の取組を考慮しつつ、我が国繊維産業の実態を踏まえた監査要求事項・評価基準「Japanese Audit Standard for Textile Industry （JASTI）」の策定及び第三者監査制度の運用体制の構築について検討し、2025年3月19日の「産業構造審議会　製造産業分科会　繊維産業小委員会」を経てJASTIを策定しました。.; E-mail：bzl-seni-kintaikanri@meti.go.jp.,medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
,,,,,,,,,,,,,,,,wsig-188f614a99,grant,95,high,public_funding,[PDF] 低コストと  性能を両  した炭素繊維の研究開発 - NEDO,https://www.nedo.go.jp/content/800030706.pdf,nedo.go.jp,,,,,,"2020 年度 2021 年度 2022 年度 2023 年度 2024 年度 計 特許出願（うち外国出願） ０ ０ 1 1(１) 1 3件 • 研究開発の成果と意義，学会発表、広報等の取り組み 11 ３．研究開発成果について 等⽅原料 乱層（⾮晶）炭素 （無配向繊維） そのまま 炭素化 等⽅性原料由来炭素繊維 弾性率100GPa以下, 強度1.0GPa以下 π-π積層化 相互作⽤ 剛直⾼分⼦ 添加 収率up:70% 繊維⻑さ⽅向に 配向した炭素 弾性率240GPa以上, 強度4.0GPa以上の実現 10.0μm n 座礁資源 低コスト メソフェーズ化 分子量 メソゲン成分 溶媒成分 1 原料混合 （任意の混合⽐で混ぜる） 炭素繊維 前駆体調製 溶媒分⼦ メソゲン分⼦ メソフェーズピッチ ・メソゲンと溶媒分⼦を 適切に選んで混合するだ け︕︕ メリット ・現時点、将来的にゴミ となり得る原料から⾼級 炭素繊維が製造可能︕︕ ・原料価格が極めて安い （参考価格︓0.01~0.2＄） ⽯炭残渣（メソゲン分⼦）/⽯油残渣（溶媒分⼦） （50/50） ⿊鉛化（2800℃, 10 min, アルゴン雰囲 気） 炭素化（1000℃, 30 min, 真空） ヤング 弾性率 延伸率 引張強度 繊維径 ヤング 弾性率 延伸率 引張強度 繊維径 [GPa] [%] [GPa] [μm] [GPa] [%] [GPa] [μm] 680±40 0.5±0.1 4.2 ±0.5 7.9±0.4 190±30 1.4±0.2 2.8±0.6 9.1±0.7 座礁資源原料の 溶融紡⽷ 配合により，PANライクな炭素繊維も製造可能︕︕ 世界最大の炭素材料の祭典（Carbon 2025） 基調講演として招待！ （岐阜大；入澤，九大；中林，信州大；宝田） • 実⽤化・事業化のイメージ（成果がどのように使われるか） 12 ４．今後の⾒通しについて CF製造⼤⼿企業の参画はもちろん，新規参⼊を⽬指す企業， ⼤学発ベンチャーも参加し，実⽤化検証を加速する体制を構築中 国内唯一の炭素繊維 開発ライン（in 岐阜大学） 著名な事業化⽀援・推進サポートに採択！ https://www.1stround.jp 製糸工程 焼成工程 従来の芳香族性高分子 （強酸にのみ溶解） 改良型の芳香族性高分子 （シクロヘキサンを約20%含む） 課題 安全性・廃液・他成分との複合化 目的：有機溶媒に可溶性を有する前駆体の開発 出発物質のテレフタル酸に1,4-シクロヘキサンジカルボン酸を組み合わせ， ベンゼン環の一部をシクロヘキサンに変換 原料製造 ⽤途 トータルマネージメント 協⼒企業のOEMが参画 化学メーカー， ⽯油メーカー等 繊維メーカー 炭素繊維メーカー ⽤途企業 ４⼤学１国⽴研究機関の知を結集！！ • 実⽤化・事業化に対する今後の課題と対応⽅針 13 ４．今後の⾒通しについて fff (fortississimo) さらにもっと強く FFF (Future Fiber Factory) 未来の繊維工場 東海国⽴⼤学機構岐⾩⼤学 ⼯場⻑ ⼊澤寿平准教授 同機構名古屋⼤学 他⼤学 公的研究機関 連携 研究員の招聘 共同研究企業 技術移転 研究費 講座設⽴費 機構内発 ベンチャー企業 （２社） 成果物の 即時，事業化 省庁等競争的研究費，地方自治体補助金等 委託，助成研究費 ⽬的︓ ・世界を代表する繊維開発研究機関として機能 ・東海地区の繊維産業の強化と新しい繊維材料の創出 ・中⼩企業の技術⽀援，ベンチャー企業の創出 ⽤途開拓まで⽬指した炭素繊維開発を実施する︕ • 実⽤化・事業化に向けた具体的な取り組み（計画や戦略等） 14 ４．今後の⾒通しについて 2035年 2030年度 2029年度 2028年度 2027年度 2026年度 2025年度 新開発炭素繊維 炭素繊維の試作 （fff社⾃⼰資⾦で実施） ⽤途企業における実証試験 特許出願繊維 弾性率180GPa,強度2.0GPa以上 実⽤化 弾性率240GPa 強度4.0GPa 弾性率280GPa 強度5.8GPa ⽔素タンク同等品 数⼗ー数百kgの試作開始 実証完了 ⽤途部材試作 部材としての実⽤化の 数⼗tの試作 試作販売 開始 1万t/年 数⼗ー数百kgの試作開始 数⼗tの試作 実証完了 ⽔素タンク試作 ⾼級 性能部材 への採⽤ 15万t/年.",medium,needs_human_review,"Web signals are signal candidates, not final conclusions. This is not FTO, infringement, or validity analysis. Public or government source domain; still requires human review for linkage.",Verify funding source page and project linkage.,True,
