publication_number,publication_date,title,abstract,assignee,country,url,cpc_codes,ipc_codes,search_intents,query_plan_ids,matched_terms,source_type,evidence_level,claims_source,description_source,watch_id,watch_theme,watch_type,watch_priority,target_patent,related_claim_element,related_paper_title,related_web_signal_title,related_web_signal_domain,source_quality,link_type,link_score,link_confidence,why_it_matters,evidence_basis,evidence_gap,next_verification_action,caveat,related_web_signal_url
US-12565719-B2,,,,,,,,,,,,,,,,watch-3e0aa19cde,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,"PAN precursor fabrication, applications and thermal stabilization process in carbon fiber production: Experimental and mathematical modelling",[PDF] 革新的新構造材料等研究開発 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=PAN precursor fabrication, applications and thermal stabiliz）。ただし、対象特許との直接関係は未確認です。","title=[PDF] 革新的新構造材料等研究開発 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; pan; polyacrylonitrile; link_type=project_context_match; paper=PAN precursor fabrication, applications and thermal stabilization process in carbon fiber production: Experimental and mathematical modelling; evidence=樹脂 (Carbon Fiber Reinforced Plastics.  PAN Polyacrylonitrile 有機高分子の一種で、アクリロニトリル を重合させて得られる。PAN アクリル、モダクリ","Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100765842.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-f334819553,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,"Preparation, Stabilization and Carbonization of a Novel Polyacrylonitrile-Based Carbon Fiber Precursor",[PDF] 革新的新構造材料等研究開発 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=Preparation, Stabilization and Carbonization of a Novel Poly）。ただし、対象特許との直接関係は未確認です。","title=[PDF] 革新的新構造材料等研究開発 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; polyacrylonitrile; link_type=project_context_match; paper=Preparation, Stabilization and Carbonization of a Novel Polyacrylonitrile-Based Carbon Fiber Precursor; evidence=樹脂 (Carbon Fiber Reinforced Plastics.  PAN Polyacrylonitrile 有機高分子の一種で、アクリロニトリル を重合させて得られる。PAN アクリル、モダクリ","Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100765842.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-c05d2c6cf1,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,Fabrication and Properties of Carbon Fibers,[PDF] 革新的新構造材料等研究開発 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=Fabrication and Properties of Carbon Fibers）。ただし、対象特許との直接関係は未確認です。",title=[PDF] 革新的新構造材料等研究開発 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; polyacrylonitrile; link_type=project_context_match; paper=Fabrication and Properties of Carbon Fibers; evidence=樹脂 (Carbon Fiber Reinforced Plastics.  PAN Polyacrylonitrile 有機高分子の一種で、アクリロニトリル を重合させて得られる。PAN アクリル、モダクリ,"Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100765842.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-096bbc8341,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,On the structural evolution of textile grade polyacrylonitrile fibers during stabilization and carbonization: Towards the manufacture of low‐cost carbon fiber,[PDF] 革新的新構造材料等研究開発 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=On the structural evolution of textile grade polyacrylonitri）。ただし、対象特許との直接関係は未確認です。",title=[PDF] 革新的新構造材料等研究開発 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; polyacrylonitrile; link_type=project_context_match; paper=On the structural evolution of textile grade polyacrylonitrile fibers during stabilization and carbonization: Towards the manufacture of low‐cost carbon fiber; evidence=樹脂 (Carbon Fiber Reinforced Plastics.  PAN Polyacrylonitrile 有機高分子の一種で、アクリロニトリル を重合させて得られる。PAN アクリル、モダクリ,"Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100765842.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-2c9db4618c,PAN precursor research signal,patent_paper_web_signal,medium,US-12565719-B2,,Structural Evolution of Polyacrylonitrile Fibers in Stabilization and Carbonization,[PDF] 革新的新構造材料等研究開発 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=Structural Evolution of Polyacrylonitrile Fibers in Stabiliz）。ただし、対象特許との直接関係は未確認です。",title=[PDF] 革新的新構造材料等研究開発 - NEDO; domain=nedo.go.jp; quality=high; terms=fiber; polyacrylonitrile; link_type=project_context_match; paper=Structural Evolution of Polyacrylonitrile Fibers in Stabilization and Carbonization; evidence=樹脂 (Carbon Fiber Reinforced Plastics.  PAN Polyacrylonitrile 有機高分子の一種で、アクリロニトリル を重合させて得られる。PAN アクリル、モダクリ,"Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100765842.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-ac6bfaadff,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,"PAN precursor fabrication, applications and thermal stabilization process in carbon fiber production: Experimental and mathematical modelling",[PDF] (添付-2) プロジェクト用語集 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=PAN precursor fabrication, applications and thermal stabiliz）。ただし、対象特許との直接関係は未確認です。","title=[PDF] (添付-2) プロジェクト用語集 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; pan; polyacrylonitrile; link_type=project_context_match; paper=PAN precursor fabrication, applications and thermal stabilization process in carbon fiber production: Experimental and mathematical modelling; evidence=CF carbon fiber。炭素繊維。  CFRP carbon fiber reinforced plastics。炭素繊維強化複合材料。炭素繊維を樹脂の中に入れ、 PAN Polyacrylonitrile。ポリアクリロニトリル","Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100871523.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-99005042a8,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,"Preparation, Stabilization and Carbonization of a Novel Polyacrylonitrile-Based Carbon Fiber Precursor",[PDF] (添付-2) プロジェクト用語集 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=Preparation, Stabilization and Carbonization of a Novel Poly）。ただし、対象特許との直接関係は未確認です。","title=[PDF] (添付-2) プロジェクト用語集 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; polyacrylonitrile; link_type=project_context_match; paper=Preparation, Stabilization and Carbonization of a Novel Polyacrylonitrile-Based Carbon Fiber Precursor; evidence=CF carbon fiber。炭素繊維。  CFRP carbon fiber reinforced plastics。炭素繊維強化複合材料。炭素繊維を樹脂の中に入れ、 PAN Polyacrylonitrile。ポリアクリロニトリル","Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100871523.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-6a26938149,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,Fabrication and Properties of Carbon Fibers,[PDF] (添付-2) プロジェクト用語集 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=Fabrication and Properties of Carbon Fibers）。ただし、対象特許との直接関係は未確認です。",title=[PDF] (添付-2) プロジェクト用語集 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; polyacrylonitrile; link_type=project_context_match; paper=Fabrication and Properties of Carbon Fibers; evidence=CF carbon fiber。炭素繊維。  CFRP carbon fiber reinforced plastics。炭素繊維強化複合材料。炭素繊維を樹脂の中に入れ、 PAN Polyacrylonitrile。ポリアクリロニトリル,"Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100871523.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-0468297dde,CFRP / carbon fiber national project signal,patent_paper_web_signal,medium,US-12565719-B2,,On the structural evolution of textile grade polyacrylonitrile fibers during stabilization and carbonization: Towards the manufacture of low‐cost carbon fiber,[PDF] (添付-2) プロジェクト用語集 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=On the structural evolution of textile grade polyacrylonitri）。ただし、対象特許との直接関係は未確認です。",title=[PDF] (添付-2) プロジェクト用語集 - NEDO; domain=nedo.go.jp; quality=high; terms=carbon fiber; fiber; polyacrylonitrile; link_type=project_context_match; paper=On the structural evolution of textile grade polyacrylonitrile fibers during stabilization and carbonization: Towards the manufacture of low‐cost carbon fiber; evidence=CF carbon fiber。炭素繊維。  CFRP carbon fiber reinforced plastics。炭素繊維強化複合材料。炭素繊維を樹脂の中に入れ、 PAN Polyacrylonitrile。ポリアクリロニトリル,"Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100871523.pdf
US-12565719-B2,,,,,,,,,,,,,,,,watch-4ad64d0881,PAN precursor research signal,patent_paper_web_signal,medium,US-12565719-B2,,Structural Evolution of Polyacrylonitrile Fibers in Stabilization and Carbonization,[PDF] (添付-2) プロジェクト用語集 - NEDO,nedo.go.jp,high,project_context_match,75,low,"NEDO / JST / METIなどの公的ソースで炭素繊維・CFRP・PAN系技術に関する研究開発シグナルが確認されたため、対象特許の技術領域と同じ周辺テーマとして監視価値があります。（signal_type=national_project, quality=high, link_type=project_context_match, paper=Structural Evolution of Polyacrylonitrile Fibers in Stabiliz）。ただし、対象特許との直接関係は未確認です。",title=[PDF] (添付-2) プロジェクト用語集 - NEDO; domain=nedo.go.jp; quality=high; terms=fiber; polyacrylonitrile; link_type=project_context_match; paper=Structural Evolution of Polyacrylonitrile Fibers in Stabilization and Carbonization; evidence=CF carbon fiber。炭素繊維。  CFRP carbon fiber reinforced plastics。炭素繊維強化複合材料。炭素繊維を樹脂の中に入れ、 PAN Polyacrylonitrile。ポリアクリロニトリル,"Target patent description/examples are not yet verified. Direct linkage between web signals and the target patent is not confirmed. Selected papers are supporting evidence candidates, not proof of patent claims. Relationship between public projects and commercial implementation is not confirmed. IR/disclosure candidates require original PDF verification. Claims-only route limits confidence to medium at most.",Verify public funding / project page and thematic overlap with patent claims.,"This is a Strategic Watch Candidate, not a final conclusion. This is not FTO, infringement, or validity analysis. Web signals require human verification. Papers are supporting evidence candidates, not proof of patent claims.",https://www.nedo.go.jp/content/100871523.pdf
